Subsets,Subsets_2,Type of units,Parameters-->,Used (1 or 0),Unit tag,Yearly demand (kg fuel),Produced from,El balance,Heat balance,Process heat balance,H2 balance,CSP balance,Max Capacity,Fuel production rate (kg output/kg input),Heat generated (kWh/output),Process heat generated (kWh/output),Load min (% of max capacity),Ramp up (% of capacity /h),Ramp down (% of capacity /h),Electrical consumption (kWh/output),Investment (EUR/Capacity installed),Fixed cost (EUR/Capacity installed/y),Variable cost (EUR/Output),Fuel selling price (EUR/output),Fuel buying price (EUR/output),CO2e infrastructure (kg CO2e/Capacity/y),CO2e process (kg CO2e/output),Land use (m2/Capacity),Annuity factor
Stor_in,NoSubset,H2 tank compressor,35,1,H2_to_tank,0,-,0,0,0,-1,0,20000,0,0,0,0.0,1.0,1.0,3.5,0,0,0,0,0,0,0,0,0
Stor_out,NoSubset,H2 tank valve,36,1,H2_from_tank,0,-,0,0,0,1,0,20000,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
Tank,NoSubset,H2 tank,37,1,H2_stored_tank,0,-,0,0,0,0,0,20000000,0,0,0,0.03,1.0,1.0,0,800,24,0,0,0,0.006226074074074075,0,0,0.14902948869707539
RPU_OFF_SP379-HH100,NoSubset,OFF_SP379-HH100,51,1,SP379-HH100,0,-,1,0,0,0,0,2000000,0,0,0,0.0,1.0,1.0,0,1998.1303119546053,37.595707870000005,0.0028155330000000003,0,0,53.53,0,171.96,0.08882743338727227
RPU_OFF_SP379-HH150,NoSubset,OFF_SP379-HH150,52,1,SP379-HH150,0,-,1,0,0,0,0,2000000,0,0,0,0.0,1.0,1.0,0,2296.6158904916497,37.595707870000005,0.0028155330000000003,0,0,53.529999999999994,0,171.96,0.08882743338727227
RPU_OFF_SP450-HH100,NoSubset,OFF_SP450-HH100,53,1,SP450-HH100,0,-,1,0,0,0,0,2000000,0,0,0,0.0,1.0,1.0,0,1801.4452222473265,37.595707870000005,0.0028155330000000003,0,0,53.529999999999994,0,171.96,0.08882743338727227
RPU_OFF_SP450-HH150,NoSubset,OFF_SP450-HH150,54,1,SP450-HH150,0,-,1,0,0,0,0,2000000,0,0,0,0.0,1.0,1.0,0,2052.8014989101002,37.595707870000005,0.0028155330000000003,0,0,53.529999999999994,0,171.96,0.08882743338727227
PU_Grid_in,Grid_buy,Electricity from the grid,60,0.0,Power_from_the_grid,0,-,1,0,0,0,0,2000000,0,0,0,0.0,1.0,1.0,0,180,0,0,0,0.016649999999999998,0,0,0,0.08882743338727227
Grid_out,Grid_sell,Curtailment,61,1,Curtailment,0,-,-1,0,0,0,0,24000,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
Stor_in,NoSubset,Charge batteries,63,1,Electricity_to_batteries,0,-,-1,0,0,0,0,10000000,0,0,0,0.0,1.0,1.0,0.05,0,0,0,0,0,0,0,0,0
Stor_out,NoSubset,Discharge batteries,64,1,Electricity_from_batteries,0,-,1,0,0,0,0,60000000,0,0,0,0.0,1.0,1.0,0.05,0,0,0,0,0,0,0,0,0
Tank,NoSubset,Batteries,65,1,Electricity_stored,0,-,0,0,0,0,0,20000000,0,0,0,0.0,1.0,1.0,0,180,2.6999999999999997,0,0,0,1.5728301886792453,0,0.017333333333333333,0.10185220882315059
